Rank	Country	GDP	GDP Year
1	Luxembourg	89992	2011
2	Qatar	88919	2011
2	Macau	77607	2011
3	Norway	61882	2011
4	Singapore	61103	2011
5	Kuwait	54654	2011
6	Brunei	50506	2010
6	Hong Kong	49990	2011
7	Switzerland	49151	2011
8	United States	48442	2011
9	United Arab Emirates	48222	2011
10	Netherlands	42834	2011
11	Austria	42225	2011
12	Ireland	41543	2011
13	Sweden	41300	2011
14	Denmark	40983	2011
15	Canada	40440	2011
16	Australia	39438	2011
17	Germany	39211	2011
18	Belgium	38605	2011
19	Finland	38083	2011
20	Equatorial Guinea	36515	2011
21	Iceland	36085	2011
22	United Kingdom	35494	2011
23	France	34993	2011
24	Japan	34294	2011
25	Italy	32928	2011
25	European Union	32642	2011
26	Spain	32424	2011
27	Bahamas	32198	2011
28	Cyprus	32087	2011
29	South Korea	30254	2011
30	New Zealand	29935	2010
31	Oman	28880	2011
32	Israel	27835	2011
33	Slovenia	27412	2011
34	Malta	27294	2011
35	Greece	26948	2011
36	Seychelles	26420	2011
37	Czech Republic	26046	2011
38	Trinidad and Tobago	25951	2011
39	Portugal	25385	2011
40	Saudi Arabia	24434	2011
41	Slovakia	24022	2011
42	Bahrain	23690	2010
43	Estonia	21942	2011
44	Hungary	21610	2011
45	Poland	21310	2011
46	Russia	21248	2011
47	Lithuania	20374	2011
48	Croatia	20031	2011
49	Barbados	19272	2009
50	Chile	18553	2011
51	Latvia	17802	2011
52	Argentina	17742	2011
53	Turkey	17499	2011
54	Libya	16855	2009
55	Antigua and Barbuda	16121	2011
56	Gabon	15960	2011
57	Panama	15695	2011
58	Malaysia	15589	2011
59	Mexico	15270	2011
60	Uruguay	15181	2011
61	Romania	15163	2011
62	Saint Kitts and Nevis	15154	2011
63	Belarus	15040	2011
64	Palau	15023	2011
65	Botswana	14753	2011
66	Lebanon	14709	2011
67	Bulgaria	14603	2011
68	Mauritius	14523	2011
69	Montenegro	13612	2011
70	Kazakhstan	13189	2011
71	Venezuela	12836	2011
72	Dominica	12678	2011
73	Costa Rica	12236	2011
74	Serbia	11919	2011
75	Brazil	11719	2011
76	Macedonia	11666	2011
76	World	11640	2011
77	Iran	11479	2009
78	Grenada	11180	2011
79	South Africa	11035	2011
80	Saint Vincent and the Grenadines	10812	2011
81	Peru	10318	2011
82	Azerbaijan	10136	2011
83	Colombia	10103	2011
84	Dominican Republic	9863	2011
85	Tunisia	9415	2011
86	Saint Lucia	9385	2011
87	Turkmenistan	9184	2011
88	Bosnia and Herzegovina	9089	2011
89	Albania	8944	2011
90	Maldives	8932	2011
91	Algeria	8715	2011
92	Thailand	8703	2011
93	Ecuador	8486	2011
94	China	8466	2011
95	Jamaica	8065	2011
96	Suriname	7891	2010
97	Ukraine	7251	2011
98	El Salvador	6877	2011
99	Namibia	6826	2011
100	Belize	6722	2011
101	Egypt	6324	2011
102	Swaziland	6099	2011
103	Jordan	6007	2011
104	Angola	5930	2011
105	Armenia	5829	2011
106	Bhutan	5810	2011
107	Sri Lanka	5620	2011
108	Georgia	5503	2011
109	Paraguay	5419	2011
110	Syria	5262	2010
111	Bolivia	5130	2011
112	Morocco	4986	2011
113	Guatemala	4961	2011
114	Fiji	4787	2011
115	Mongolia	4764	2011
116	Indonesia	4668	2011
117	Tonga	4666	2011
118	Vanuatu	4631	2011
119	Samoa	4570	2011
120	Congo	4429	2011
121	Philippines	4140	2011
122	Cape Verde	4123	2011
123	Honduras	4066	2011
124	Iraq	3890	2011
125	India	3652	2011
126	Guyana	3445	2010
127	Micronesia	3440	2011
128	Vietnam	3435	2011
129	Moldova	3392	2011
130	Uzbekistan	3310	2011
131	Solomon Islands	2943	2011
132	Nicaragua	2941	2011
133	Laos	2809	2011
134	Pakistan	2763	2011
135	Papua New Guinea	2695	2011
136	Mauritania	2571	2011
137	Nigeria	2532	2011
138	Kiribati	2531	2011
138	West Bank and Gaza	2465	2005
139	Kyrgyzstan	2424	2011
140	Cameroon	2383	2011
141	Cambodia	2372	2011
142	Yemen	2349	2011
143	Tajikistan	2340	2011
144	Djibouti	2290	2009
145	Sudan &  South Sudan	2141	2011
146	Gambia	2135	2011
147	São Tomé and Príncipe	2058	2011
148	Senegal	1981	2011
149	Ghana	1884	2011
150	Côte d'Ivoire	1803	2011
151	Bangladesh	1788	2011
152	Kenya	1718	2011
153	Lesotho	1715	2011
154	Benin	1628	2011
155	Zambia	1623	2011
156	East Timor	1588	2011
157	Chad	1531	2011
158	Tanzania	1521	2011
159	Uganda	1354	2011
160	Burkina Faso	1310	2011
161	Nepal	1256	2011
162	Guinea-Bissau	1251	2011
163	Rwanda	1251	2011
164	Afghanistan	1202	2010
165	Haiti	1179	2011
166	Guinea	1128	2011
167	Comoros	1117	2011
168	Ethiopia	1116	2011
169	Mali	1099	2011
170	Togo	1042	2011
171	Mozambique	982	2011
172	Madagascar	972	2011
173	Malawi	918	2011
174	Sierra Leone	877	2011
175	Central African Republic	816	2011
176	Niger	732	2011
177	Burundi	608	2011
178	Eritrea	589	2011
179	Liberia	577	2011
180	Democratic Republic of the Congo	375	2011
