Coffee Shop,Address,City,Phone
Compass Coffee,1535 7th St NW,"Washington, DC 20001",(202) 251-7402
Lincoln's Waffle Shop,504 10th St NW,"Washington, DC 20004",(202) 638-4008
Starbucks Coffee,409 3rd St SW,"Washington, DC 20024",(202) 479-6907
Coffee Nature,4224 Fessenden St NW,"Washington, DC 20016",(202) 237-8989
Smoth Tea,1715 Connecticut Ave NW,"Washington, DC 20009",(202) 621-9423
After Peacock Room,2622 P St NW,"Washington, DC 20007",(202) 525-4903
Baked & Wired,1052 Thomas Jefferson St NW,"Washington, DC 20007",(202) 333-8877
Phillips Cafe,1451 L St NW,"Washington, DC 20005",(202) 331-3213
Cafe Mozu,1330 Maryland Ave SW,"Washington, DC 20024",(202) 787-6040
Cafe Berlin,322 Massachusetts Ave NE,"Washington, DC 20002",(202) 543-7656
Cafe Romeo's,2132 Wisconsin Ave NW,"Washington, DC 20007",(202) 337-1111
Eclectic Cafe,4058 Minnesota Ave NE,"Washington, DC 20019",(202) 397-1075
Qualia Coffee,3917 Georgia Ave NW,"Washington, DC 20011",(202) 248-6423
Woodley Cafe,2619 Connecticut Ave NW,"Washington, DC 20008",(202) 332-5773
Cafe Divan,1834 Wisconsin Ave NW,"Washington, DC 20007",(202) 338-1747
Bluestone Lane Dupont Circle Coffee Shop,1150 Connecticut Ave NW,"Washington, DC 20036",(718) 374-6858
Bluestone Lane Scott Circle Coffee Shop,1515 Rhode Island Ave NW,"Washington, DC 20005",(718) 374-6858
Bluestone Lane West End Café,1100 23rd St NW,"Washington, DC 20037",(718) 374-6858
Bluestone Lane Logan Circle Café,1367 R St NW,"Washington, DC 20009",(718) 374-6858
Bluestone Lane Navy Yard Coffee Shop,99 M St SE,"Washington, DC 20003",(718) 374-6858
Dolan Coffee,3518 Connecticut Ave NW Unit D,"Washington, DC 20008",(202) 968-2002
Peet's Coffee & Tea,1701 Pennsylvania Ave NW,"Washington, DC 20006",(202) 436-9271
Pret,1275 Pennsylvania Ave NW,"Washington, DC 20004",(202) 621-8284
Greenberry's Coffee Company,1805 E St NW,"Washington, DC 20006",(202) 898-0360
The Coffee Bar,1201 S St NW,"Washington, DC 20009",(202) 733-1049
The Wydown,1924 14th St NW,"Washington, DC 20009",(202) 507-8411
Ebenezers Coffeehouse,201 F St NE,"Washington, DC 20002",(202) 558-6900
Tryst,2459 18th St NW,"Washington, DC 20009",(202) 232-5500
Kilpatrick Stockton LLP,607 14th St NW Ste 900,"Washington, DC 20005",(202) 508-5800
Gregorys Coffee,1000 Vermont Ave NW,"Washington, DC 20005",(877) 212-9983
